,Symbol,Average Percentage Growth
0,5250.KL,0.32
1,7214.KL,-0.15
2,5198.KL,0.51
3,5139.KL,0.12
4,7315.KL,0.26
5,AZRB.KL,-0.19
6,5099.KL,
7,5099.KL,
8,5116.KL,-0.27
9,5269.KL,-0.02
10,5115.KL,-0.06
11,5127.KL,-0.28
12,5120.KL,-0.2
13,4758.KL,0.87
14,5099.KL,
15,6399.KL,-0.2
16,6888.KL,0.24
17,5106.KL,-0.14
18,7251.KL,1.65
19,5196.KL,0.11
20,5248.KL,-0.31
21,BIMB.KL,-0.26
22,5932.KL,0.68
23,5254.KL,-0.22
24,5100.KL,-0.11
25,9938.KL,0.92
26,7221.KL,0.31
27,5210.KL,0.07
28,%5EKLSE,0.04
29,5105.KL,-0.26
30,5180.KL,-0.15
31,5257.KL,-0.1
32,CBIP.KL,0.0
33,5195.KL,0.61
34,6012.KL,
35,7209.KL,0.32
36,2879.KL,-0.29
37,5273.KL,-0.02
38,5273.KL,-0.02
39,5229.KL,0.0
40,5188.KL,0.77
41,7202.KL,-0.17
42,5104.KL,1.62
43,7205.KL,0.14
44,5136.KL,-0.08
45,SCIB.KL,0.58
46,CHHB.KL,0.5
47,5168.KL,0.23
48,5094.KL,-0.08
49,5184.KL,-0.34
50,7204.KL,0.1
51,5276.kl,
52,5216.KL,0.16
53,0091.KL,7.01
54,5141.KL,0.53
55,5132.KL,-0.1
56,7212.KL,-0.19
57,DKLS.KL,
58,5265.kl,0.48
59,7233.KL,0.52
60,5178.kl,0.26
61,5259.KL,-0.32
62,5141.KL,0.53
63,5253.KL,-0.07
64,5208.kl,-0.23
65,5228.KL,0.21
66,0090.KL,-0.19
67,7217.KL,0.05
68,EPMB.KL,1.05
69,EUPE.KL,0.79
70,7208.KL,0.94
71,5101.KL,-0.19
72,5205.KL,-0.13
73,0065.KL,-0.02
74,7229.KL,0.08
75,5222.KL,-0.17
76,0149.KL,0.93
77,5197.KL,
78,5277.KL,0.34
79,7210.kl,-0.2
80,0128.KL,0.16
81,7184.KL,0.61
82,5209.KL,-0.06
83,0078.KL,-0.29
84,0198.KL,
85,5220.KL,0.98
86,GBTKF,0.0
87,7237.KL,0.33
88,0056.KL,0.49
89,MEDA.KL,0.6
90,5102.KL,-0.05
91,HAIO.KL,0.03
92,7253.KL,0.11
93,5138.KL,0.12
94,5168.KL,0.23
95,5187.KL,-0.48
96,5121.KL,-0.24
97,5095.kl,-0.37
98,5151.KL,0.82
99,5199.KL,-0.34
100,HWGG,0.0
101,5165.kl,0.06
102,5160.KL,-0.24
103,0185.kl,-0.25
104,IBHD.KL,-0.29
105,5255.KL,0.2
106,5227.KL,0.03
107,5227.KL,0.03
108,IHHHF,0.0
109,5268.KL,-0.67
110,7243.KL,3.31
111,0166.KL,-0.03
112,5249.KL,-0.27
113,5107.kl,-0.11
114,5175.KL,0.65
115,7223.KL,1.46
116,0058.kl,0.14
117,5161.KL,0.15
118,5172.KL,0.57
119,5192.KL,0.61
120,5247.KL,-0.11
121,7216.KL,-0.11
122,7199.KL,0.26
123,0151.KL,-0.15
124,0143.kl,-0.04
125,6211.KL,0.22
126,KIMH.KL,0.54
127,5171.KL,-0.12
128,5280.kl,-0.04
129,5235SS.KL,-0.12
130,5232.KL,-0.01
131,LTKM.KL,0.05
132,011170.KS,-0.09
133,LTKM.KL,0.05
134,5143.KL,
135,5264.KL,-0.02
136,5186.kl,-0.11
137,5236.KL,
138,6012.KL,
139,MBMR.KL,-0.05
140,5182.KL,-0.26
141,0685.HK,0.32
142,5129.KL,0.3
143,MESB.KL,1.49
144,5286.kl,0.25
145,5166.kl,1.63
146,7219.KL,0.6
147,MINT.KL,0.15
148,MISC.KL,0.17
149,8893.KL,0.39
150,MNRB.KL,0.0
151,5202.KL,-0.55
152,5152.kl,0.84
153,MUDA.KL,-0.02
154,0138.KL,-0.26
155,5275.kl,-0.19
156,7241.KL,0.4
157,0172.KL,0.0
158,5260.KL,0.01
159,5125.KL,
160,5212.KL,-0.14
161,6888.KL,0.24
162,0186.kl,-0.34
163,5219.KL,-0.18
164,5133.KL,
165,PNADF,0.0
166,7237.KL,0.33
167,5204.KL,-0.42
168,PPHB.KL,0.24
169,5272.KL,0.19
170,5256.KL,-0.95
171,7232.KL,0.01
172,5278.KL,0.92
173,5113.kl,-0.22
174,5147.kl,-0.03
175,skpbf,0.0
176,5170.KL,0.25
177,SCIB.KL,0.58
178,5135.kl,0.08
179,5252.KL,-0.27
180,5157.kl,0.29
181,7239.KL,0.09
182,7247.KL,0.36
183,SEAL.KL,1.21
184,5145.kl,0.6
185,5213.KL,0.36
186,5279.KL,
187,5163.KL,0.27
188,5173.KL,0.25
189,5181.KL,0.11
190,7246.KL,0.31
191,SDPNF,-0.03
192,SIMEF,0.0
193,7248.KL,0.49
194,5242.KL,1.46
195,1836.HK,-0.27
196,5211.KL,0.06
197,5263.KL,0.07
198,5176.KL,-0.05
199,7235.KL,-0.09
200,7228.kl,0.23
201,7211.KL,0.27
202,5149.kl,0.63
203,5140.KL,-0.17
204,5289.KL,0.13
205,7200.KL,0.34
206,7252.KL,-0.03
207,7206.KL,0.76
208,5112.KL,-0.2
209,5239.KL,0.35
210,0101.KL,0.08
211,7230.KL,0.19
212,5111.KL,-0.05
213,0118.KL,11.79
214,5230.KL,-0.39
215,5167.KL,1.03
216,5148.KL,-0.38
217,7227.KL,0.36
218,4588.KL,
219,5200.KL,-0.24
220,5110.KL,-0.11
221,5292.kl,0.31
222,7250.KL,-0.52
223,6963.KL,0.17
224,5243.KL,-0.17
225,7240.KL,0.05
226,0097.KL,0.36
227,5162.KL,0.04
228,0197.kl,0.72
229,7231.KL,-0.25
230,WSTTF,0.0
231,TEKA.KL,1.22
232,5156.KL,0.98
233,5267.kl,0.17
234,YKGI.KL,1.1
235,YLIH.KL,0.76
236,5109.KL,-0.1
237,5131.KL,0.33
