No.,Company Name,Ticker
1,7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250.KL
2,A-RANK BERHAD [S],7214.KL
3,ABLEGROUP BERHAD [S],7086.KL
4,ABM FUJIYA BERHAD [S],5198.KL
5,ACME HOLDINGS BERHAD [S],7131.KL
6,ACOUSTECH BERHAD [S],7120.KL
7,ADVANCE SYNERGY BERHAD,1481.kl
8,ADVANCECON HOLDINGS BERHAD [S],No result
9,ADVANCED PACKAGING TECHNOLOGY (M) BHD [S],9148.KL
10,ADVENTA BERHAD [S],7191.KL
11,AE MULTI HOLDINGS BERHAD [S],No result
12,AEON CO. (M) BHD [S],6599.KL
13,AEON CREDIT SERVICE (M) BERHAD,5139.KL
14,AFFIN BANK BERHAD,5185.KL
15,PRINSIPTEK CORPORATION BERHAD [S],7145.kl
16,AHB HOLDINGS BERHAD [S],7315.KL
17,AHMAD ZAKI RESOURCES BERHAD [S],AZRB.KL
18,AIRASIA GROUP BERHAD [S],5099.KL
19,AirAsia X Berhad [S],5099.KL
20,AJINOMOTO (MALAYSIA) BERHAD [S],2658.KL
21,AJIYA BERHAD [S],7609.KL
22,AL-AQAR HEALTHCARE REIT [S],5116.KL
23,AL-SALAM REAL ESTATE INVESTMENT TRUST [S],5269.KL
24,ALAM MARITIM RESOURCES BERHAD [S],5115.KL
25,ALCOM GROUP BERHAD,2674.KL
26,ALLIANCE BANK MALAYSIA BERHAD,2488.KL
27,ALLIANZ MALAYSIA BERHAD,1163.KL
28,AMALGAMATED INDUSTRIAL STEEL BERHAD [S],No result
29,AMANAH HARTA TANAH PNB,No result
30,AMANAHRAYA REAL ESTATE INVESTMENT TRUST,5127.KL
31,AMCORP PROPERTIES BERHAD,No result
32,AME ELITE CONSORTIUM BERHAD [S],No result
33,AMFIRST REAL ESTATE INVESTMENT TRUST,5120.KL
34,AMMB HOLDINGS BERHAD,1015.KL
35,AMTEL HOLDINGS BERHAD,7031.KL
36,AMWAY (MALAYSIA) HOLDINGS BERHAD [S],6351.KL
37,ANALABS RESOURCES BERHAD [S],No result
38,ANCOM BERHAD [S],4758.KL
39,ANN JOO RESOURCES BERHAD [S],6556.KL
40,ANZO HOLDINGS BERHAD [S],9342.KL
41,APB RESOURCES BERHAD [S],5568.KL
42,APEX EQUITY HOLDINGS BERHAD,5088.kl
43,APEX HEALTHCARE BERHAD [S],7090.KL
44,APFT BERHAD [S],No result
45,APM AUTOMOTIVE HOLDINGS BERHAD [S],5015.KL
46,APOLLO FOOD HOLDINGS BERHAD [S],6432.KL
47,ARB BERHAD [S],7181.KL
48,ARK RESOURCES HOLDINGS BERHAD [S],7007.KL
49,ASIA BRANDS BERHAD [S],No result
50,ASIA FILE CORPORATION BHD [S],5099.KL
51,ASIA MEDIA GROUP BERHAD,No result
52,ASIAN PAC HOLDINGS BERHAD [S],4057.KL
53,ASTINO BERHAD [S],7162.KL
54,ASTRAL ASIA BERHAD [S],7054.KL
55,ASTRO MALAYSIA HOLDINGS BERHAD,6399.KL
56,ATA IMS BERHAD [S],No result
57,ATLAN HOLDINGS BHD,7048.KL
58,ATRIUM REAL ESTATE INVESTMENT TRUST,No result
59,ATTA GLOBAL GROUP BERHAD [S],7099.KL
60,AVILLION BERHAD [S],8885.kl
61,AWC BERHAD [S],7579.KL
62,AXIATA GROUP BERHAD [S],6888.KL
63,AXIS REAL ESTATE INVESTMENT TRUST [S],5106.KL
64,AYER HOLDINGS BERHAD [S],2305.kl
65,AYS VENTURES BERHAD,5021.kl
66,B.I.G. INDUSTRIES BERHAD [S],7005.KL
67,BARAKAH OFFSHORE PETROLEUM BERHAD [S],7251.KL
68,BATU KAWAN BERHAD [S],No result
69,BCB BERHAD,6602.KL
70,BENALEC HOLDINGS BERHAD,No result
71,BERJAYA ASSETS BERHAD,No result
72,BERJAYA CORPORATION BERHAD,3395.KL
73,BERJAYA FOOD BERHAD,5196.KL
74,BERJAYA LAND BERHAD,No result
75,BERJAYA MEDIA BERHAD,No result
76,BERJAYA SPORTS TOTO BERHAD,1562.KL
77,BERMAZ AUTO BERHAD [S],5248.KL
78,BERTAM ALLIANCE BERHAD,9814.KL
79,BIMB HOLDINGS BERHAD [S],BIMB.KL
80,BINA DARULAMAN BERHAD [S],6173.KL
81,BINA PURI HOLDINGS BHD [S],5932.KL
82,BINTAI KINDEN CORPORATION BERHAD [S],No result
83,BINTULU PORT HOLDINGS BERHAD [S],5032.kl
84,BLD PLANTATION BHD. [S],5069.KL
85,BOILERMECH HOLDINGS BERHAD [S],4006.KL
86,BONIA CORPORATION BERHAD [S],9288.KL
87,BORNEO OIL BERHAD [S],7036.KL
88,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD [S],8133.kl
89,BOUSTEAD HOLDINGS BERHAD [S],2771.KL
90,BOUSTEAD PLANTATIONS BERHAD [S],5254.KL
91,BOX-PAK (MALAYSIA) BERHAD,6297.KL
92,BP PLASTICS HOLDING BHD [S],5100.KL
93,BRAHIM'S HOLDINGS BERHAD [S],9474.KL
94,BREM HOLDING BERHAD,8761.KL
95,BRIGHT PACKAGING INDUSTRY BERHAD,9938.KL
96,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,No result
97,BSL CORPORATION BERHAD [S],7221.KL
98,BTM RESOURCES BERHAD [S],7188.KL
99,BUMI ARMADA BERHAD,5210.KL
100,BURSA MALAYSIA BERHAD [S],%5EKLSE
101,C.I. HOLDINGS BERHAD,2828.KL
102,CAB CAKARAN CORPORATION BERHAD [S],7174.KL
103,CAELY HOLDINGS BHD [S],7154.KL
104,CAHYA MATA SARAWAK BERHAD [S],2852.KL
105,CAM RESOURCES BERHAD [S],7128.kl
106,CAN-ONE BERHAD [S],5105.KL
107,CAPITALAND MALAYSIA MALL TRUST,5180.KL
108,CARIMIN PETROLEUM BERHAD [S],5257.KL
109,CARLSBERG BREWERY MALAYSIA BERHAD,2836.KL
110,CB INDUSTRIAL PRODUCT HOLDING BERHAD [S],CBIP.KL
111,CCK CONSOLIDATED HOLDINGS BERHAD [S],7035.KL
112,CENSOF HOLDINGS BERHAD [S],5195.KL
113,CENTRAL GLOBAL BERHAD [S],6012.KL
114,CEPATWAWASAN GROUP BERHAD [S],8982.KL
115,CHEETAH HOLDINGS BERHAD [S],7209.KL
116,CHEMICAL COMPANY OF MALAYSIA BERHAD [S],2879.KL
117,CHIN HIN GROUP BERHAD [S],5273.KL
118,CHIN HIN GROUP PROPERTY BERHAD [S],5273.KL
119,CHIN TECK PLANTATIONS BERHAD,1929.KL
120,CHIN WELL HOLDINGS BERHAD [S],5007.KL
121,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,5229.KL
122,CHINA OUHUA WINERY HOLDINGS LIMITED,5188.KL
123,CHOO BEE METAL INDUSTRIES BHD [S],5797.KL
124,CHUAN HUAT RESOURCES BHD [S],7016.KL
125,CIMB GROUP HOLDINGS BERHAD,1023.KL
126,CJ CENTURY LOGISTICS HOLDINGS BERHAD [S],7117.KL
127,CLASSIC SCENIC BERHAD [S],7202.KL
128,CME GROUP BERHAD [S],7018.kl
129,CN ASIA CORPORATION BHD,7986.KL
130,CNI HOLDINGS BERHAD [S],5104.KL
131,COASTAL CONTRACTS BHD,No result
132,COCOALAND HOLDINGS BERHAD [S],7205.KL
133,COMFORT GLOVES BERHAD [S],2127.KL
134,COMINTEL CORPORATION BHD,7195.KL
135,COMPLETE LOGISTIC SERVICES BERHAD [S],5136.KL
136,COMPUGATES HOLDINGS BERHAD [S],5037.KL
137,COMPUTER FORMS (MALAYSIA) BERHAD [S],No result
138,CONCRETE ENGINEERING PRODUCTS BERHAD [S],SCIB.KL
139,COUNTRY HEIGHTS HOLDINGS BHD [S],CHHB.KL
140,COUNTRY VIEW BERHAD [S],5049.KL
141,CRESCENDO CORPORATION BERHAD [S],6718.KL
142,CREST BUILDER HOLDINGS BERHAD [S],5168.KL
143,CSC STEEL HOLDINGS BERHAD [S],5094.KL
144,CUSCAPI BERHAD,0051.KL
145,CWG HOLDINGS BERHAD [S],9423.KL
146,CYCLE & CARRIAGE BINTANG BERHAD,2925.KL
147,CYL CORPORATION BERHAD [S],7157.KL
148,CYMAO HOLDINGS BERHAD [S],5082.kl
149,CYPARK RESOURCES BERHAD [S],5184.KL
150,D&O GREEN TECHNOLOGIES BERHAD [S],7204.KL
151,D.B.E. GURNEY RESOURCES BERHAD [S],No result
152,DAGANG NEXCHANGE BERHAD [S],4456.KL
153,DAIBOCHI BERHAD [S],8125.kl
154,DAMANSARA REALTY BHD [S],3484.KL
155,DANCOMECH HOLDINGS BERHAD [S],5276.kl
156,DATAPREP HOLDINGS BHD [S],8338.KL
157,DATASONIC GROUP BERHAD [S],5216.KL
158,DAYA MATERIALS BERHAD,0091.KL
159,DAYANG ENTERPRISE HOLDINGS BERHAD [S],5141.KL
160,DEGEM BERHAD [S],7119.kl
161,DELEUM BERHAD [S],5132.KL
162,DESTINI BERHAD [S],7212.KL
163,DIALOG GROUP BERHAD [S],7277.KL
164,DIGI.COM BERHAD [S],6947.KL
165,DIGISTAR CORPORATION BERHAD,0029.KL
166,DKLS INDUSTRIES BHD [S],DKLS.KL
167,DKSH HOLDINGS (MALAYSIA) BERHAD [S],5908.KL
168,D'NONCE TECHNOLOGY BHD [S],7114.KL
169,DOLOMITE CORPORATION BERHAD,No result
170,DOLPHIN INTERNATIONAL BERHAD [S],5265.kl
171,DOMINANT ENTERPRISE BERHAD [S],No result
172,DPS RESOURCES BERHAD [S],7198.kl
173,DRB-HICOM BERHAD [S],1619.KL
174,DUFU TECHNOLOGY CORP. BERHAD [S],7233.KL
175,DUOPHARMA BIOTECH BERHAD [S],7148.KL
176,DUTALAND BERHAD,3948.KL
177,DUTCH LADY MILK INDUSTRIES BERHAD [S],3026.KL
178,DWL RESOURCES BERHAD [S],7165.KL
179,DYNACIATE GROUP BERHAD,5178.kl
180,E.A.TECHNIQUE (M) BERHAD [S],5259.KL
181,EASTERN & ORIENTAL BERHAD [S],3417.KL
182,EASTLAND EQUITY BHD [S],2097.KL
183,ECM LIBRA FINANCIAL GROUP BERHAD,No result
184,ECO WORLD DEVELOPMENT GROUP BERHAD [S],8206.KL
185,ECO WORLD INTERNATIONAL BERHAD,8206.KL
186,ECOBUILT HOLDINGS BERHAD [S],5141.KL
187,ECOFIRST CONSOLIDATED BHD [S],3557.kl
188,ECONPILE HOLDINGS BERHAD [S],5253.KL
189,EDARAN BERHAD [S],5036.KL
190,EDEN INC. BERHAD,7471.KL
191,EFFICIENT E-SOLUTIONS BERHAD,No result
192,EG INDUSTRIES BERHAD [S],8907.KL
193,EITA RESOURCES BERHAD [S],5208.kl
194,EKA NOODLES BERHAD [S],7182.KL
195,EKOVEST BERHAD [S],8877.KL
196,EKSONS CORPORATION BERHAD,9016.kl
197,ELK-DESA RESOURCES BERHAD,5228.KL
198,ELSOFT RESEARCH BERHAD [S],0090.KL
199,EMICO HOLDINGS BERHAD [S],9091.kl
200,ENCORP BERHAD,6076.KL
201,ENG KAH CORPORATION BERHAD [S],7149.KL
202,ENGTEX GROUP BERHAD [S],5056.KL
203,ENRA GROUP BERHAD [S],8613.KL
204,EONMETALL GROUP BERHAD [S],7217.KL
205,EP MANUFACTURING BHD [S],EPMB.KL
206,ESTHETICS INTERNATIONAL GROUP BERHAD [S],5081.KL
207,EUPE CORPORATION BERHAD [S],EUPE.KL
208,EURO HOLDINGS BERHAD [S],7208.KL
209,EUROSPAN HOLDINGS BERHAD [S],7094.KL
210,EVERGREEN FIBREBOARD BERHAD [S],5101.KL
211,EVERSENDAI CORPORATION BERHAD [S],5205.KL
212,EWEIN BERHAD [S],No result
213,EXCEL FORCE MSC BERHAD [S],0065.KL
214,FACB INDUSTRIES INCORPORATED BERHAD,No result
215,FAJARBARU BUILDER GROUP BHD [S],7047.KL
216,FAR EAST HOLDINGS BERHAD [S],5029.KL
217,FARLIM GROUP (MALAYSIA) BHD,No result
218,FAVELLE FAVCO BERHAD [S],7229.KL
219,FCW HOLDINGS BERHAD,2755.kl
220,FEDERAL INTERNATIONAL HOLDINGS BERHAD [S],2828.KL
221,FGV HOLDINGS BERHAD [S],5222.KL
222,FIAMMA HOLDINGS BERHAD [S],No result
223,FIBON BERHAD,0149.KL
224,FIMA CORPORATION BERHAD [S],3107.KL
225,FITTERS DIVERSIFIED BERHAD [S],9318.KL
226,FOCUS LUMBER BERHAD [S],5197.KL
227,FORMOSA PROSONIC INDUSTRIES BERHAD [S],9172.KL
228,FOUNDPAC GROUP BERHAD [S],5277.KL
229,FRASER & NEAVE HOLDINGS BHD [S],3689.KL
230,FREIGHT MANAGEMENT HOLDINGS BERHAD [S],7210.kl
231,FRONTKEN CORPORATION BERHAD [S],0128.KL
232,FSBM HOLDINGS BERHAD,No result
233,G3 GLOBAL BERHAD,7184.KL
234,GABUNGAN AQRS BERHAD [S],No result
235,GADANG HOLDINGS BHD [S],9261.KL
236,GAMUDA BERHAD [S],5398.KL
237,GAS MALAYSIA BERHAD [S],5209.KL
238,GD EXPRESS CARRIER BERHAD [S],0078.KL
239,GDB HOLDINGS BERHAD [S],0198.KL
240,GE-SHEN CORPORATION BERHAD [S],7197.KL
241,GENTING BERHAD,3182.KL
242,GENTING MALAYSIA BERHAD,4715.KL
243,GENTING PLANTATIONS BERHAD [S],2291.KL
244,GEORGE KENT (MALAYSIA) BERHAD [S],3204.KL
245,GETS GLOBAL BERHAD [S],No result
246,GHL SYSTEMS BERHAD [S],GHLSYS
247,GLOBAL ORIENTAL BERHAD [S],1147.KL
248,GLOBALTEC FORMATION BERHAD [S],5220.KL
249,GLOBETRONICS TECHNOLOGY BERHAD [S],GBTKF
250,GLOMAC BERHAD [S],5020.KL
251,GOLDEN LAND BERHAD,7382.kl
252,GOLDEN PHAROS BERHAD [S],5649.KL
253,GOODWAY INTEGRATED INDUSTRIES BERHAD [S],No result
254,GOPENG BERHAD [S],7237.KL
255,GPA HOLDINGS BERHAD,7096.KL
256,GRAND CENTRAL ENTERPRISES BHD,5592.KL
257,GRAND HOOVER BERHAD [S],No result
258,GRAND-FLO BERHAD [S],0056.KL
259,GREEN PACKET BERHAD,No result
260,GREENYIELD BERHAD [S],No result
261,GROMUTUAL BERHAD [S],MEDA.KL
262,GUAN CHONG BERHAD [S],5102.KL
263,GUH HOLDINGS BERHAD [S],3247.KL
264,GUNUNG CAPITAL BERHAD [S],7676.kl
265,GUOCOLAND (MALAYSIA) BERHAD,No result
266,HAI-O ENTERPRISE BERHAD,HAIO.KL
267,HANDAL ENERGY BERHAD [S],7253.KL
268,HAP SENG CONSOLIDATED BERHAD,3034.KL
269,HAP SENG PLANTATIONS HOLDINGS BERHAD [S],5138.KL
270,HARBOUR-LINK GROUP BERHAD [S],2062.KL
271,HARN LEN CORPORATION BHD [S],7501.KL
272,HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008.KL
273,HARTALEGA HOLDINGS BERHAD [S],5168.KL
274,HB GLOBAL LIMITED,5187.KL
275,HCK CAPITAL GROUP BERHAD,7105.KL
276,HEINEKEN MALAYSIA BERHAD,3255.KL
277,HEITECH PADU BERHAD [S],5028.KL
278,HEKTAR REAL ESTATE INVESTMENT TRUST,5121.KL
279,HENGYUAN REFINING COMPANY BERHAD [S],4324.KL
280,HEVEABOARD BERHAD [S],5095.kl
281,HEXTAR GLOBAL BERHAD [S],5151.KL
282,HEXZA CORPORATION BERHAD,No result
283,HIAP TECK VENTURE BERHAD [S],5072.KL
284,HIBISCUS PETROLEUM BERHAD [S],5199.KL
285,HIL INDUSTRIES BERHAD [S],8443.KL
286,HO HUP CONSTRUCTION COMPANY BHD [S],5169.KL
287,HO WAH GENTING BERHAD [S],HWGG
288,HOCK HENG STONE INDUSTRIES BHD [S],5165.kl
289,HOCK SENG LEE BERHAD [S],6238.KL
290,HOMERITZ CORPORATION BERHAD [S],5160.KL
291,HONG LEONG BANK BERHAD,5819.KL
292,HONG LEONG CAPITAL BERHAD,5274.kl
293,HONG LEONG FINANCIAL GROUP BERHAD,No result
294,HONG LEONG INDUSTRIES BERHAD [S],3301.KL
295,HPMT HOLDINGS BERHAD [S],No result
296,HSS ENGINEERS BERHAD [S],0185.kl
297,HUA YANG BERHAD [S],5062.KL
298,HUBLINE BERHAD [S],7013.KL
299,HUME INDUSTRIES BERHAD,5000.kl
300,HUP SENG INDUSTRIES BERHAD [S],5024.KL
301,HWA TAI INDUSTRIES BERHAD [S],8478.KL
302,I-BERHAD [S],IBHD.KL
303,IBRACO BERHAD [S],5084.KL
304,ICAPITAL.BIZ BERHAD,5108.KL
305,ICON OFFSHORE BERHAD [S],5255.KL
306,ICONIC WORLDWIDE BERHAD [S],9113.KL
307,IDEAL UNITED BINTANG INTERNATIONAL BERHAD [S],9687.KL
308,IGB BERHAD,5227.KL
309,IGB REAL ESTATE INVESTMENT TRUST,5227.KL
310,IHH HEALTHCARE BERHAD [S],IHHHF
311,IJM CORPORATION BERHAD [S],3336.KL
312,IJM PLANTATIONS BERHAD,2216.KL
313,IKHMAS JAYA GROUP BERHAD [S],5268.KL
314,IMASPRO CORPORATION BERHAD [S],No result
315,IMPIANA HOTELS BERHAD [S],7243.KL
316,INARI AMERTRON BERHAD [S],0166.KL
317,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO [S],2607.KL
318,INDUSTRONICS BERHAD [S],9393.kl
319,INNATURE BERHAD [S],No result
320,INNOPRISE PLANTATIONS BERHAD [S],No result
321,INSAS BERHAD,3379.KL
322,INTA BINA GROUP BERHAD [S],No result
323,INTEGRATED LOGISTICS BHD,5614.KL
324,IOI CORPORATION BERHAD [S],1961.KL
325,IOI PROPERTIES GROUP BERHAD [S],5249.KL
326,IPMUDA BERHAD [S],5673.kl
327,IQ GROUP HOLDINGS BERHAD [S],5107.kl
328,IRE-TEX CORPORATION BERHAD [S],7183.KL
329,IREKA CORPORATION BERHAD [S],No result
330,ISKANDAR WATERFRONT CITY BERHAD [S],1589.KL
331,IVORY PROPERTIES GROUP BERHAD [S],5175.KL
332,JADE MARVEL GROUP BERHAD [S],jade
333,JADI IMAGING HOLDINGS BERHAD [S],7223.KL
334,JAKS RESOURCES BERHAD [S],4723.KL
335,JASA KITA BERHAD,No result
336,JAYA TIASA HOLDINGS BHD [S],4383.KL
337,JAYCORP BERHAD [S],7152.KL
338,JCBNEXT BERHAD,0058.kl
339,JCY INTERNATIONAL BERHAD [S],5161.KL
340,JERASIA CAPITAL BERHAD,8931.KL
341,JIANKUN INTERNATIONAL BERHAD [S],8923.kl
342,JKG LAND BERHAD [S],6769.KL
343,JOHAN HOLDINGS BERHAD,No result
344,JOHORE TIN BERHAD [S],7167.kl
345,K-STAR SPORTS LIMITED,5172.KL
346,K.SENG SENG CORPORATION BERHAD [S],5192.KL
347,KAMDAR GROUP (M) BERHAD [S],8672.KL
348,KAREX BERHAD,5247.KL
349,KARYON INDUSTRIES BERHAD [S],0054.KL
350,KAWAN FOOD BERHAD [S],7216.KL
351,KECK SENG (MALAYSIA) BERHAD,No result
352,KEIN HING INTERNATIONAL BERHAD [S],7199.KL
353,KELINGTON GROUP BERHAD [S],0151.KL
354,KEN HOLDINGS BERHAD [S],7323.KL
355,KENANGA INVESTMENT BANK BERHAD,6483.KL
356,KERJAYA PROSPEK GROUP BERHAD [S],7161.KL
357,GSB GROUP BERHAD [S],7077.KL
358,KESM INDUSTRIES BERHAD [S],9334.KL
359,KEY ASIC BERHAD [S],0143.kl
360,KHEE SAN BERHAD [S],6203.KL
361,KHIND HOLDINGS BERHAD [S],7062.KL
362,KIA LIM BERHAD [S],6211.KL
363,KIM HIN INDUSTRY BERHAD [S],KIMH.KL
364,KIM LOONG RESOURCES BERHAD [S],5027.KL
365,KIMLUN CORPORATION BERHAD [S],5171.KL
366,KINSTEEL BHD,No result
367,KIP REAL ESTATE INVESTMENT TRUST,5280.kl
368,KKB ENGINEERING BERHAD [S],9466.KL
369,KLCC REAL ESTATE INVESTMENT TRUST [S],5235SS.KL
370,KLUANG RUBBER COMPANY (MALAYA) BERHAD,No result
371,KNM GROUP BERHAD,7164.KL
372,KNUSFORD BERHAD [S],5035.KL
373,KOBAY TECHNOLOGY BERHAD [S],6971.KL
374,KOMARKCORP BERHAD [S],7017.KL
375,KONSORTIUM TRANSNASIONAL BERHAD [S],No result
376,KOSSAN RUBBER INDUSTRIES BERHAD [S],7153.KL
377,KOTRA INDUSTRIES BERHAD [S],0002.kl
378,KPJ HEALTHCARE BERHAD [S],5878.KL
379,KPS CONSORTIUM BERHAD [S],9121.KL
380,KRETAM HOLDINGS BERHAD [S],No result
381,KSL HOLDINGS BERHAD [S],5038.KL
382,KUALA LUMPUR KEPONG BERHAD [S],No result
383,KUB MALAYSIA BERHAD [S],6874.KL
384,KUCHAI DEVELOPMENT BERHAD,No result
385,KUMPULAN FIMA BERHAD [S],6491.KL
386,KUMPULAN H & L HIGH-TECH BERHAD [S],7033.kl
387,KUMPULAN JETSON BERHAD [S],9083.KL
388,KUMPULAN PERANGSANG SELANGOR BERHAD [S],5843.KL
389,KUMPULAN POWERNET BERHAD [S],No result
390,KWANTAS CORPORATION BERHAD [S],6572.KL
391,KYM HOLDINGS BERHAD [S],8362.kl
392,LAND & GENERAL BERHAD [S],3174.KL
393,LANDMARKS BERHAD,1643.KL
394,LATITUDE TREE HOLDINGS BERHAD [S],7006.KL
395,LAY HONG BERHAD [S],9385.KL
