No.,Company Name,Ticker
396,LB ALUMINIUM BERHAD [S],9326.KL
397,LBI CAPITAL BERHAD,8494.KL
398,LBS BINA GROUP BERHAD [S],5789.KL
399,LEADER STEEL HOLDINGS BERHAD,9881.KL
400,LEBTECH BERHAD [S],No result
401,LEE SWEE KIAT GROUP BERHAD [S],8079.KL
402,LEON FUAT BERHAD,5232.KL
403,LEONG HUP INTERNATIONAL BERHAD,LTKM.KL
404,LEWEKO RESOURCES BERHAD [S],8745.KL
405,LFE CORPORATION BERHAD [S],7170.KL
406,LIEN HOE CORPORATION BERHAD,No result
407,LII HEN INDUSTRIES BHD. [S],7089.KL
408,LINGKARAN TRANS KOTA HOLDINGS BERHAD [S],6645.kl
409,LION INDUSTRIES CORPORATION BERHAD [S],4235.KL
410,LION FOREST INDUSTRIES BERHAD [S],8486.KL
411,LONDON BISCUITS BERHAD,7126.kl
412,LOTTE CHEMICAL TITAN HOLDING BERHAD [S],011170.KS
413,LOTUS KFM BERHAD [S],8303.KL
414,LPI CAPITAL BHD,8621.KL
415,LTKM BERHAD [S],LTKM.KL
416,LUSTER INDUSTRIES BHD.,5068.KL
417,LUXCHEM CORPORATION BERHAD [S],5143.KL
418,LYSAGHT GALVANIZED STEEL BERHAD,9199.kl
419,MAA GROUP BERHAD,1198.KL
420,MAGNA PRIMA BERHAD [S],No result
421,MAGNI-TECH INDUSTRIES BERHAD [S],7087.KL
422,MAGNUM BERHAD,3859.KL
423,MAH SING GROUP BERHAD [S],8583.KL
424,MAJUPERAK HOLDINGS BERHAD,8141.KL
425,MALAKOFF CORPORATION BERHAD [S],5264.KL
426,MALAYAN BANKING BERHAD,1155.KL
427,MALAYAN CEMENT BERHAD [S],7113.KL
428,MALAYAN FLOUR MILLS BERHAD,No result
429,MALAYAN UNITED INDUSTRIES BERHAD,3891.KL
430,MALAYSIA AIRPORTS HOLDINGS BERHAD,5014.KL
431,MALAYSIA BUILDING SOCIETY BERHAD,1171.KL
432,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD [S],5186.kl
433,MALAYSIA PACIFIC CORPORATION BERHAD,3867.KL
434,MALAYSIA SMELTING CORPORATION BERHAD [S],5916.kl
435,MALAYSIA STEEL WORKS (KL) BHD [S],No result
436,MALAYSIAN BULK CARRIERS BERHAD,5077.KL
437,MALAYSIAN PACIFIC INDUSTRIES BERHAD [S],No result
438,MALAYSIAN RESOURCES CORPORATION BERHAD [S],1651.KL
439,MALPAC HOLDINGS BERHAD,4936.KL
440,MALTON BERHAD [S],6181.KL
441,MANULIFE HOLDINGS BERHAD,No result
442,MARCO HOLDINGS BERHAD,3514.KL
443,MARINE & GENERAL BERHAD,5078.KL
444,MASTER-PACK GROUP BERHAD [S],No result
445,MATRIX CONCEPTS HOLDINGS BERHAD [S],5236.KL
446,MAXIS BERHAD [S],6012.KL
447,MB WORLD GROUP BERHAD [S],7189.KL
448,MBM RESOURCES BHD [S],MBMR.KL
449,MCE HOLDINGS BERHAD [S],7004.KL?P=7004.KL
450,MCT BERHAD [S],5182.KL
451,MEDIA CHINESE INTERNATIONAL LIMITED [S],0685.HK
452,MEDIA PRIMA BERHAD,4502.KL
453,MEGA FIRST CORPORATION BERHAD [S],3069.KL
454,MELATI EHSAN HOLDINGS BERHAD [S],5129.KL
455,MELEWAR INDUSTRIAL GROUP BERHAD [S],3778.KL
456,MENANG CORPORATION (M) BERHAD [S],1694.kl
457,MENTIGA CORPORATION BERHAD [S],5223.KL
458,MERCURY INDUSTRIES BERHAD [S],8192.KL
459,MERIDIAN BERHAD [S],5040.KL
460,MESB BERHAD [S],MESB.KL
461,MESINIAGA BERHAD [S],No result
462,METROD HOLDINGS BERHAD,6149.KL
463,METRONIC GLOBAL BERHAD [S],No result
464,MGB BERHAD [S],7595.KL
465,MHC PLANTATIONS BHD [S],No result
466,MI TECHNOVATION BERHAD [S],5286.kl
467,MIECO CHIPBOARD BERHAD [S],5001.KL
468,MILUX CORPORATION BERHAD [S],No result
469,MINDA GLOBAL BERHAD [S],5166.kl
470,MINETECH RESOURCES BERHAD [S],7219.KL
471,MINHO (M) BERHAD [S],5576.KL
472,MINTYE BERHAD [S],MINT.KL
473,MISC BERHAD [S],MISC.KL
474,MITRAJAYA HOLDINGS BERHAD [S],9571.KL
475,MK LAND HOLDINGS BERHAD [S],8893.KL
476,MKH BERHAD [S],6114.KL
477,MMC CORPORATION BERHAD [S],2194.KL
478,MMS VENTURES BERHAD [S],3255.KL
479,MNRB HOLDINGS BERHAD,MNRB.KL
480,MPHB Capital Berhad,No result
481,QUILL CAPITA TRUST,No result
482,MSCM HOLDINGS BERHAD [S],1023.KL
483,MSM MALAYSIA HOLDINGS BERHAD [S],5202.KL
484,MTD ACPI ENGINEERING BERHAD [S],5924.KL
485,MUAR BAN LEE GROUP BERHAD [S],5152.kl
486,MUDA HOLDINGS BERHAD [S],MUDA.KL
487,MUDAJAYA GROUP BERHAD,5085.kl
488,MUHIBBAH ENGINEERING (M) BHD [S],5703.KL
489,MUI PROPERTIES BERHAD [S],3913.kl
490,MULPHA INTERNATIONAL BERHAD,3905.KL
491,MULTI-USAGE HOLDINGS BERHAD [S],1023.KL
492,MY E.G. SERVICES BERHAD [S],0138.KL
493,MYCRON STEEL BERHAD [S],5087.KL
494,MYNEWS HOLDINGS BERHAD,5275.kl
495,NAIM HOLDINGS BERHAD [S],5073.KL
496,NATIONWIDE EXPRESS HOLDINGS BERHAD [S],No result
497,NEGRI SEMBILAN OIL PALMS BERHAD,2038.KL
498,NESTLE (MALAYSIA) BERHAD [S],4707.KL
499,NEW HOONG FATT HOLDINGS BERHAD [S],No result
500,NEXTGREEN GLOBAL BERHAD [S],7241.KL
501,NI HSIN RESOURCES BERHAD [S],No result
502,NICHE CAPITAL EMAS HOLDINGS BERHAD [S],7139.KL
503,NOTION VTEC BERHAD [S],No result
504,NPC RESOURCES BERHAD [S],No result
505,NTPM HOLDINGS BERHAD [S],5066.KL
506,NWP HOLDINGS BERHAD [S],5025.KL
507,NYLEX (MALAYSIA) BERHAD [S],4944.KL
508,OCB BERHAD [S],5673.kl
509,OCEANCASH PACIFIC BERHAD [S],0049.KL
510,OCK GROUP BERHAD,0172.KL
511,OCR GROUP BERHAD [S],7071.kl
512,OKA CORPORATION BHD [S],7140.KL
513,OLYMPIA INDUSTRIES BERHAD,No result
514,OMESTI BERHAD [S],9008.KL
515,ONLY WORLD GROUP HOLDINGS BERHAD,5260.KL
516,ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD [S],7107.KL
517,ORIENTAL HOLDINGS BERHAD,4006.KL
518,ORIENTAL INTEREST BERHAD [S],5827.kl
519,ORNAPAPER BERHAD [S],5065.KL
520,OSK HOLDINGS BERHAD,5053.kl
521,P.A. RESOURCES BERHAD [S],5347.KL
522,P.I.E. INDUSTRIAL BERHAD [S],7095.KL
523,PACIFIC & ORIENT BERHAD,6009.kl
524,PADINI HOLDINGS BERHAD [S],7052.KL
525,PAN MALAYSIA CORPORATION BERHAD [S],4081.KL
526,PAN MALAYSIA HOLDINGS BERHAD [S],1287.KL
527,PANASONIC MANUFACTURING MALAYSIA BERHAD,3719.kl
528,PANSAR BERHAD [S],8419.KL
529,PANTECH GROUP HOLDINGS BERHAD [S],5125.KL
530,PAOS HOLDINGS BERHAD [S],5022.KL
531,PARAGON GLOBE BERHAD [S],No result
532,PARAGON UNION BERHAD [S],1066.KL
533,PARAMOUNT CORPORATION BERHAD [S],1724.KL
534,PARKSON HOLDINGS BERHAD [S],No result
535,PASDEC HOLDINGS BERHAD [S],6912.KL
536,PAVILION REAL ESTATE INV TRUST,5212.KL
537,PBA HOLDINGS BHD [S],No result
538,PCCS GROUP BERHAD [S],6068.KL
539,PDZ HOLDINGS BHD [S],6254.KL
540,PECCA GROUP BERHAD [S],6888.KL
541,PEGASUS HEIGHTS BERHAD [S],4464.KL
542,PELANGI PUBLISHING GROUP BHD. [S],7190.KL
543,PELIKAN INTERNATIONAL CORPORATION BERHAD [S],5231.KL
544,PENSONIC HOLDINGS BERHAD,9997.KL
545,PENTAMASTER CORPORATION BERHAD,7160.KL
546,PERAK CORPORATION BERHAD,8346.KL
547,PERAK TRANSIT BERHAD [S],0186.kl
548,PERDANA PETROLEUM BERHAD [S],7108.KL
549,PERMAJU INDUSTRIES BERHAD [S],7080.KL
550,PESONA METRO HOLDINGS BERHAD [S],8311.KL
551,PESTECH INTERNATIONAL BERHAD [S],5219.KL
552,PETRA ENERGY BERHAD [S],5133.KL
553,PETRON MALAYSIA REFINING & MARKETING BHD [S],3042.KL
554,PETRONAS CHEMICALS GROUP BERHAD [S],No result
555,PETRONAS DAGANGAN BHD [S],PNADF
556,PETRONAS GAS BERHAD [S],6033.KL
557,PHARMANIAGA BERHAD [S],7081.KL
558,PIMPINAN EHSAN BERHAD [S],No result
559,PINEHILL PACIFIC BERHAD [S],No result
560,PINTARAS JAYA BHD [S],No result
561,PJBUMI BERHAD [S],7163.KL
562,PLB ENGINEERING BERHAD,7055.KL
563,PLENITUDE BERHAD,5075.KL
564,PLS PLANTATIONS BERHAD [S],9695.KL
565,PMB TECHNOLOGY BERHAD [S],7172.kl
566,PNE PCB BERHAD [S],6637.KL
567,POH HUAT RESOURCES HOLDINGS BERHAD [S],7088.KL
568,POH KONG HOLDINGS BERHAD [S],5080.KL
569,POLY GLASS FIBRE (M) BERHAD [S],8117.KL
570,POS MALAYSIA BERHAD [S],4634.KL
571,POWER ROOT BERHAD [S],7237.KL
572,PPB GROUP BERHAD [S],4065.KL
573,PRESS METAL ALUMINIUM HOLDINGS BERHAD [S],8869.KL
574,PRESTAR RESOURCES BERHAD [S],9873.KL
575,PRESTARIANG BERHAD [S],5204.KL
576,PRG HOLDINGS BERHAD [S],7168.KL
577,PRICEWORTH INTERNATIONAL BERHAD [S],7123.KL
578,PROGRESSIVE IMPACT CORPORATION BERHAD [S],No result
579,PROLEXUS BERHAD [S],8966.KL
580,PROTASCO BERHAD [S],5070.KL
581,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD [S],5436.kl
582,PUBLIC BANK BERHAD,1295.KL
583,PUBLIC PACKAGES HOLDINGS BHD [S],PPHB.KL
584,PUNCAK NIAGA HOLDINGS BERHAD [S],6807.KL
585,PWF CORPORATION BERHAD [S],7134.KL
586,QL RESOURCES BERHAD [S],7084.KL
587,QUALITY CONCRETE HOLDINGS BERHAD [S],7544.KL
588,RALCO CORPORATION BERHAD [S],1961.KL
589,RANHILL HOLDINGS BERHAD [S],5272.KL
590,RAPID SYNERGY BERHAD,7765.KL
591,RCE CAPITAL BERHAD,9296.KL
592,REACH ENERGY BERHAD [S],5256.KL
593,RED SENA BERHAD,No result
594,RESINTECH BERHAD [S],7232.KL
595,REX INDUSTRY BERHAD [S],9946.kl
596,RGB INTERNATIONAL BHD,0037.KL
597,RGT BERHAD [S],No result
598,RHB BANK BERHAD,1066.KL
599,RHONE MA HOLDINGS BERHAD,5278.KL
600,RIMBUNAN SAWIT BERHAD [S],5113.kl
601,RIVERVIEW RUBBER ESTATES BERHAD [S],No result
602,ROHAS TECNIC BERHAD [S],9741.kl
603,RUBBEREX CORPORATION (M) BERHAD [S],7803.KL
604,SALCON BERHAD [S],8567.KL
605,SALUTICA BERHAD [S],No result
606,SAM ENGINEERING & EQUIPMENT (M) BERHAD [S],9822.KL
607,SAMCHEM HOLDINGS BERHAD,5147.kl
608,SAND NISKO CAPITAL BERHAD [S],7943.KL
609,SAPURA ENERGY BERHAD [S],skpbf
610,SAPURA INDUSTRIAL BERHAD [S],4596.KL
611,SAPURA RESOURCES BERHAD [S],4596.KL
612,SARAWAK CABLE BERHAD [S],5170.KL
613,SARAWAK CONSOLIDATED INDUSTRIES BERHAD [S],SCIB.KL
614,SARAWAK OIL PALMS BERHAD [S],5126.KL
615,SARAWAK PLANTATION BERHAD [S],5135.kl
616,SASBADI HOLDINGS BERHAD [S],5252.KL
617,SAUDEE GROUP BERHAD [S],5157.kl
618,SBC CORPORATION BERHAD [S],5207.KL
619,SCANWOLF CORPORATION BERHAD [S],7239.KL
620,SCGM BHD [S],7247.KL
621,SCICOM (MSC) BERHAD,0099.KL%3FP%3D0099.KL
622,SCIENTEX BERHAD [S],4731.KL
623,SCOMI ENERGY SERVICES BHD [S],No result
624,SCOMI GROUP BERHAD [S],7158.KL
625,SEACERA GROUP BERHAD [S],7073WC.kl
626,SEAL INCORPORATED BERHAD [S],SEAL.KL
627,SEALINK INTERNATIONAL BERHAD [S],5145.kl
628,SEE HUP CONSOLIDATED BERHAD [S],7053.KL
629,SEG INTERNATIONAL BHD [S],9792.KL
630,SELANGOR DREDGING BERHAD [S],2224.KL
631,SENI JAYA CORPORATION BERHAD [S],1961.KL
632,SENTORIA GROUP BERHAD [S],5213.KL
633,SERBA DINAMIK HOLDINGS BERHAD [S],5279.KL
634,SEREMBAN ENGINEERING BERHAD,5163.KL
635,SERN KOU RESOURCES BERHAD [S],7180.kl
636,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,5517.KL
637,SHH RESOURCES HOLDINGS BERHAD [S],7052.KL
638,SHIN YANG SHIPPING CORPORATION BERHAD [S],5173.KL
639,SHL CONSOLIDATED BHD [S],6017.KL
640,SIG GASES BERHAD [S],5181.KL
641,SIGNATURE INTERNATIONAL BERHAD [S],7246.KL
642,SIME DARBY BERHAD [S],No result
643,SIME DARBY PLANTATION BERHAD [S],SDPNF
644,SIME DARBY PROPERTY BERHAD [S],SIMEF
645,SIN HENG CHAN (MALAYA) BERHAD [S],4316.kl
646,SINMAH CAPITAL BERHAD [S],9296.KL
647,SINO HUA-AN INTERNATIONAL BERHAD [S],2739.KL
648,SINOTOP HOLDINGS BERHAD [S],No result
649,SKB SHUTTERS CORPORATION BERHAD [S],7115.KL
650,SKP RESOURCES BHD [S],7155.KL
651,SLP RESOURCES BERHAD [S],7248.KL
652,SMIS CORPORATION BERHAD [S],7132.KL
653,SOLID AUTOMOTIVE BERHAD [S],5242.KL
654,SOUTH MALAYSIA INDUSTRIES BERHAD [S],4375.KL
655,SOUTHERN ACIDS (M) BERHAD [S],5134.KL
656,SOUTHERN STEEL BERHAD,5665.KL
657,S P SETIA BERHAD [S],8664.KL
658,SPRITZER BHD [S],7103.KL
659,STAR MEDIA GROUP BERHAD [S],6084.KL
660,STELLA HOLDINGS BERHAD [S],1836.HK
661,SUBUR TIASA HOLDINGS BERHAD [S],6904.KL
662,SUCCESS TRANSFORMER CORPORATION BERHAD [S],No result
663,SUMATEC RESOURCES BERHAD [S],No result
664,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,No result
665,SUNSURIA BERHAD [S],3743.kl
666,SUNWAY BERHAD [S],5211.KL
667,SUNWAY CONSTRUCTION GROUP BERHAD [S],5263.KL
668,SUNWAY REAL ESTATE INVESTMENT TRUST,5176.KL
669,SUPERLON HOLDINGS BERHAD [S],7235.KL
670,SUPERMAX CORPORATION BERHAD [S],7106.KL
671,SURIA CAPITAL HOLDINGS BERHAD [S],6521.KL
672,SWS CAPITAL BERHAD [S],7186.KL
673,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD [S],6139.KL
674,SYCAL VENTURES BERHAD,9717.KL
675,SYF RESOURCES BERHAD [S],7082.KL
676,SYMPHONY LIFE BERHAD [S],1538.KL
677,T7 GLOBAL BERHAD [S],7228.kl
678,TA ANN HOLDINGS BERHAD [S],5012.KL
679,TA ENTERPRISE BERHAD,4898.KL
680,TA GLOBAL BERHAD,4898.KL
681,TA WIN HOLDINGS BERHAD,7097.KL
682,TADMAX RESOURCES BERHAD [S],4022.KL
683,TAFI INDUSTRIES BERHAD [S],7211.KL
684,TALAM TRANSFORM BERHAD [S],2259.KL
685,TALIWORKS CORPORATION BERHAD [S],8524.KL
686,TAMBUN INDAH LAND BERHAD [S],No result
687,TAN CHONG MOTOR HOLDINGS BERHAD,4405.KL
688,TANCO HOLDINGS BERHAD [S],2429.KL
689,TAS OFFSHORE BERHAD [S],5149.kl
690,TASCO BERHAD,5140.KL
691,TASEK CORPORATION BERHAD [S],No result
692,TDM BERHAD,2054.KL
693,TECHBOND GROUP BERHAD [S],5289.KL
694,TECK GUAN PERDANA BERHAD,No result
695,TEK SENG HOLDINGS BERHAD [S],7200.KL
696,TELEKOM MALAYSIA BERHAD [S],4863.KL
697,TENAGA NASIONAL BHD [S],5347.KL
698,TEO GUAN LEE CORPORATION BERHAD [S],No result
699,TEO SENG CAPITAL BERHAD [S],7252.KL
700,TEXCHEM RESOURCES BERHAD,8702.KL
701,TH HEAVY ENGINEERING BERHAD [S],7206.KL
702,TH PLANTATIONS BERHAD [S],5112.KL
703,THETA EDGE BERHAD [S],9075.kl
704,THONG GUAN INDUSTRIES BERHAD [S],7034.KL
705,THREE-A RESOURCES BERHAD [S],0012.kl
706,THRIVEN GLOBAL BERHAD [S],7889.KL
707,TIEN WAH PRESS HOLDINGS BERHAD,7374.kl
708,TIGER SYNERGY BERHAD [S],7079.KL
709,TIMBERWELL BERHAD [S],4715.KL
710,TIME DOTCOM BERHAD [S],5031.KL
711,TIONG NAM LOGISTICS HOLDINGS BERHAD [S],8397.KL
712,TITIJAYA LAND BERHAD [S],5239.KL
713,TMC LIFE SCIENCES BERHAD,0101.KL
714,TOMEI CONSOLIDATED BERHAD,7230.KL
715,TOMYPAK HOLDINGS BERHAD [S],7285.KL
716,TONG HERR RESOURCES BERHAD [S],5010.KL
717,TOP GLOVE CORPORATION BHD [S],7113.KL
718,TOWER REAL ESTATE INVESTMENT TRUST,5111.KL
719,TOYO INK GROUP BERHAD [S],7173.KL
720,TPC PLUS BERHAD [S],No result
721,TRANSOCEAN HOLDINGS BHD [S],7218.kl
722,TRC SYNERGY BERHAD [S],5054.KL
723,TRIVE PROPERTY GROUP BERHAD [S],0118.KL
724,TROPICANA CORPORATION BERHAD [S],5401.kl
725,TSH RESOURCES BERHAD [S],9059.KL
726,TSR CAPITAL BERHAD [S],5042.kl
727,TUNE PROTECT GROUP BERHAD,5230.KL
728,TURBO-MECH BERHAD,5167.KL
729,TURIYA BERHAD [S],No result
730,UCHI TECHNOLOGIES BERHAD [S],7100.KL
731,UEM EDGENTA BERHAD [S],1368.KL
732,UEM SUNRISE BERHAD [S],5148.KL
733,UMS HOLDINGS BERHAD [S],No result
734,UMS-NEIKEN GROUP BERHAD [S],7227.KL
735,UMW HOLDINGS BERHAD [S],4588.KL
736,UNIMECH GROUP BERHAD [S],7091.KL
737,UNISEM (M) BERHAD [S],5005.KL
738,UNITED MALACCA BERHAD [S],2593.KL
739,UNITED PLANTATIONS BERHAD [S],2089.KL
740,UNITED U-LI CORPORATION BERHAD [S],7133.kl
741,UOA DEVELOPMENT BHD [S],5200.KL
742,UOA REAL ESTATE INVESTMENT TRUST,5110.KL
743,UPA CORPORATION BHD [S],7113.KL
744,UWC BERHAD [S],5292.kl
745,UZMA BERHAD [S],7250.KL
746,V.S. INDUSTRY BERHAD [S],6963.KL
747,VELESTO ENERGY BERHAD [S],5243.KL
748,VERSATILE CREATIVE BERHAD [S],4995.kl
749,VERTICE BERHAD [S],7240.KL
750,VITROX CORPORATION BERHAD [S],0097.KL
751,VIZIONE HOLDINGS BERHAD [S],7070.KL
752,VSTECS BERHAD [S],5162.KL
753,WAH SEONG CORPORATION BERHAD [S],5142.KL
754,WANG-ZHENG BERHAD,No result
755,WARISAN TC HOLDINGS BERHAD,5016.kl
756,WATTA HOLDING BERHAD [S],No result
757,WCE HOLDINGS BERHAD,3565.KL
758,WCT HOLDINGS BERHAD [S],9679.KL
759,WEGMANS HOLDINGS BERHAD [S],0197.kl
760,WELLCALL HOLDINGS BERHAD [S],7231.KL
761,WESTPORTS HOLDINGS BERHAD [S],WSTTF
762,WHITE HORSE BERHAD [S],5009.KL
763,WIDETECH (MALAYSIA) BERHAD,7692.KL
764,WILLOWGLEN MSC BERHAD,0008.kl
765,WMG HOLDINGS BERHAD [S],TEKA.KL
766,WONG ENGINEERING CORPORATION BERHAD [S],7050.kl
767,WOODLANDOR HOLDINGS BHD [S],No result
768,WTK HOLDINGS BERHAD [S],4243.KL
769,WZ SATU BERHAD [S],No result
770,XIAN LENG HOLDINGS BERHAD [S],7121.kl
771,XIDELANG HOLDINGS LTD,5156.KL
772,XIN HWA HOLDINGS BERHAD [S],5267.kl
773,Y&G CORPORATION BHD [S],7003.KL
774,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD [S],7178.KL
775,YEE LEE CORPORATION BHD [S],5584.KL
776,YI-LAI BERHAD [S],5048.kl
777,YINSON HOLDINGS BERHAD [S],7293.KL
778,YKGI HOLDINGS BERHAD,YKGI.KL
779,YLI HOLDINGS BERHAD [S],YLIH.KL
780,YNH PROPERTY BERHAD [S],3158.KL
781,YONG TAI BERHAD [S],7066.KL
782,YOONG ONN CORPORATION BERHAD [S],No result
783,YTL CORPORATION BERHAD,4677.KL
784,YTL HOSPITALITY REIT,5109.KL
785,YTL POWER INTERNATIONAL BHD,6742.KL
786,ZECON BERHAD [S],7028.KL
787,ZELAN BERHAD [S],2283.KL
788,ZHULIAN CORPORATION BERHAD [S],5131.KL
